리뷰,별점
먹다보니 사진 찍는 걸 잊었네요 약간 매콤하고 고소함에 반함,5
배달 빨랐어요 맛있네요,4
담백하게 진짜 맛있어요콜라도 감사합니다,5
맛은 좋긴 한데 치킨이 식고 좀 오래된 느낌으로 왔어요 배달은 금방왔는데 그래도 잘 먹었어요,5
치킨커리 맛있네요적당히 맵고 양념먹을래 커리먹을래하면 커리고를둣,4
맛잇어요 좋아요 맛잇어요 좋아요,5
맛있게 잘먹었습니다,5
어제도 먹었는데 맛있어서 또 시켰습니다,5
배달빨랐어요 바삭했어요,5
맛있어서 또 시켰어요,5
정말 맛있네요 가슴살이 많은것만 빼면 좋습니다,5
양도많고 배달도 빠르고 맛도 최고네요,5
맛있게 잘 먹었습니다,5
역시 티바 오늘도 맛나게 먹을게요,5
변경사항 요청도 잘 반영해주시고 다른데보다 순살치킨도 일반치킨도 닭도 크고 맛있어요 한달에 3 4 번씩은 요기서 주문하는거 같아요,5
배달 30 분도 안걸렷어요 엄청빨리왓어요 맛잇게먹엇습니다,5
매콤하니 정말 맛있어요,5
맛나게 먹는 중 꼴딱 꼴딱 넘어가지요,5
티바두마리치킨 땡초갈릭 맵지만 맛있어요,5
맛있게 잘먹었습니다,4
맛있네요 배달도 빠르고 만족합니다,5
맛잇게잘먹엇습니다,5
맛있었고요 서비스도 좋았습니다,5
배달 빨리왔고 잘먹었습니다,5
다른집은 병아리 튀긴것처럼 살이 별로 없어서 먹을거리가 별로 없는데이집은 닭이 살이 많아서 먹을거리가 있어 좋아요 양념은 기름이 많아 보여요 맛도 괜춘양도 괜춘배달도 괜춘닭은 살이 많아야 보양이 돼죠,5
일단 양이 많아서 좋앗구요 후라이드시켯는데 맛좋앗습니다,5
배달 진짜 빠르고 맛있어요 마늘간장 짱맛입니다 추천해요,5
맛있어요 요구사항 들어주서서 감사합니다,5
항상 잘 먹고있습니다,5
맛있어요 많이파세요,5
후라이드가 염지가 제대로 안됐는지 많이 싱겁고 고기가 누린내가 살짝 나는듯했네요 이사오기전에 티바 많이 먹었어서 이쪽도 비슷하게 생각하고 시켰는데 다음에는 다른곳에서 시켜봐야겠네요,3
맛있게 잘먹었습니다,5
다 식어서 옴,4
주문하려는 치킨집이 휴무라 이곳에서 처음 주문해보았어요 원래 주문하고 싶은 치킨보다 바삭하지 않아 좀 아쉬웠고 마늘간장은 먹을만 했어요 무는 한개 추가 주문했는데 보통 흰색이 아니고 투명한 무른듯한 무가 대부분이었어요 먹었을때 무른 느낌은 적었지만 아쉽네요,3
맛있게 잘 먹었습니다,5
후라이드랑 간장맛 시켰어요 치킨은 맛있었는데 치킨무가 오래됐던건지 좀 물컹한 조각들이 있었어요 그 점은 아쉬웠습니당 그래도 치킨 양이 많았고 배달이 예상보다 15 분 정도 일찍 도착해서 좋았어요,4
너무 맛있게 먹었습니다 다음에 또 먹을게요,5
맛있게 잘먹었어요,4
후라이드 튀김 세상 바삭하고요 배달 30 분걸려 받았어요 굿굿 한마리 12000 원주고 사먹었으요,5
잘 먹었어요,5
처음 시켜먹어봤는데꿀맛이에요,5
굿 좋네요 맛있어요,5
바삭바삭 하기도 하고 특히 양이 많습니다,4
기대 크게 안하고 시켰는데 양에 놀랐습니다맛이 살짝 아쉬운 감이 있긴 했는데그래도 만족스러웠어요,4
두마리라 양이 많아요 서비스로 주신 콜라랑 같이 잘먹었습니다,4
넘으 맛있습니다 다음에 또 시킬게여,4
아 오늘은 쫌 맛없네요치킨이 냄새나고 질겨요저번에 맛있었는데 보니깐 철산점이였어요지점마다 맛이 다르네요,3
완전 맛있습니다 실망시키지 않아요,5
새우 8 마리왔는데 2 마리 누가먹은건가요,2
마싯어요 잘먹엇어요,5
끝까지 바삭해서 좋아요,5
배달도 엄청빨라서만족 새우튀김도크고 맛잇어요 치킨도 맛잇어요,5
잘먹었습니다 맛있어요,5
맛있어요 많이파세요,5
양이 많아요,4
양과 맛 역시나 가성비 혜자 티바 두마리 다음에 또 시켜 먹을게요,5
배달도 빠르고 맛있어서 자주시켜먹어요,5
티바는 늘 맛있어서 좋아요 양이 적어보이시겠지만 접시에 덜어 낸 후에 찍은거에용 오히려 많아서 남았을 정도,5
맛있게 잘 먹었습니다,5
맛있게 잘먹었습니다,4
따뜻하고 바삭하고 약간 매콤해서 질리지도 않아요,5
배달도 의외로 빨리 왔고 양도 많고 맛있었습니다,4
말복이라 배달이 좀 늦긴 했지만 맛있게 잘 먹었습니다,5
다른곳에 비해 닭이 작음,3
좋아요 잘먹었어요,5
좋아요 잘먹었습니다,5
생각보다 그렇게 맵진않았지만 그래도 맛은 괜찮았어요,5
이틀만에 또 먹었네요 맛있게 먹었습니다,5
후라이드가 맛있다고 리뷰에서 하던데 튀김옷이 그닥 바삭하지 않았어요 제 입맛에는 양념이 훨 맛있네요,5
너무맛있게먹었고 가격이가장맘에드네요,5
이벤트인데도 배달 적절히오고 좋네요 맛있어요,5
간장넘짜요 여긴 후라이드가 기가맥히게 맛잇는데 착각해서 간장시킴 다음엔 후라이드먹어야징 번창하세욥,5
티바두마리치킨 양념이 특히 맛있네요,5
맛도 서비스도 최고,5
전에는 다 맛있었는데 오늘은 왜이럴까요 닭에서 냄새가 났습니다,3
저번에도 맛있게 먹었던 것 같은데 뜨끈뜨끈하게 배달해주셨어요 맛있게 먹었습니다,5
진짜 맛있어요,5
안정적인 치킨의 그 맛 입니다,5
역시 치킨은 뼈있는거 시켜먹는게 더 맛있는듯,4
처음 시켜봤는데 양도 많고 맛도 좋네요,5
요청사항 들어주셔서 감사해요 그거때메 리뷰쓴다고한건데 콜라까지 배달도 도착시간보다 빨리왔고치킨 바삭바삭해요 사장님 감사합니당,5
맛있네요 배송도 빨라요,5
잘먹었습니다 감사합니다 또 주문할게요,5
평생 먹은 후라이드 중에 최고였습니다 양도 맛도 가격도,5
착한 가격 두마리 양 늘 시켜먹고 있어이,5
애들이 엄청좋아해요 맛있어요,5
잘먹었습니다 좋은하루되세요,5
맛있게 잘먹었습니다 티바두마리치킨은 가격도 항상싸고 맛도 항상 맛있어요 코폰도 다모았어요,5
두마리 맛있게잘먹었어요,5
처음 여기 시켜 먹은 후로 항상 여기서 먹어요올해 첨 먹을땐 양념에 불향 같은게 좀 많이 났던거 같은데 요즘은 익숙해져서 인지 뭔지 모르겠지만 그런 향이 덜 나는거 같아요 그래도 맛있는 녀석,4
으어어어어어어,4
맛있어요 맛있어요 배달도빨라요,5
인천에서 서울 구로 배달시켰는데 동생이 집에없어서 아쉬요,3
늘 맛있어요 맛있어요,5
,5
맛없어요 간장은 짜고 후라이드는 애들먹기 매워요,1
아이가 먹으려고 후라이드랑 간장치킨 주문했는데 어른이 먹기에도 맵더라구요 아이는 몇 조각 못 먹었네요,3
맛있고 양도 많고 좋아요,5
좋아용 양념이 특히맛나요,5
맛있게 잘 먹었오요,5
와 이렇게 퍽퍽한 닭은 처음 최악,1
맛있습니다 배달도 빠르고 좋아요,5
맛있고 배달 30 분만에 오고 기사님 친절하시구 찡 좋아요,5
다음에도 시켜먹을만큼 맛나네용,4
맛있었어요 추억의 맛 였네요 튀김옷 두꺼운 지점들이 있다던데 여기는 그런편도 아니었고두마리세트 치고 양도 많았어요 행사때 시켜먹어서 그런가 식어서 온거 빼면 만족합니다,5
맛있었네요 또 시켜먹을께요,5
맛있게 잘먹었습니다,3
맛과 양은 괜찮습니다 그런데 이벤트 때문에 배달이 너무 늦더군요 그것도 이해하겠는데 치킨을 머리카락이랑 같이 튀기셨더군요이미 절반이상 먹어서 그냥 넘어갔는데 다음엔 신경쓰셔야겠네요,1
항상 맛있게 먹고 있어요,5
항상맛있네요 쿠폰써서요,4
느끼하고 기름기가 많아서 아쉬웠습니다 양은 적당했고요 배달은 예상 시간이 70 분이었는데 실제로는 100 분 이상 걸려서 꽤나 오래 기다린 느낌이었네요,4
순살 후라이드에서 쉰내 같은게 났지만 그냥 먹었는데 설사하내요 혹시 7 26 에 순살 후라이드 드신분 속 괜찮나요 저만 그런건가 의심되네요 양념은 맛있었고 양 많습니다,3
새우는맛있는데 후라이드가좀 퍽퍽해요,4
요기요 이벤트 기간이라 그런지 배달은 늦었지만 너무 맛있고 양도 많네요,5
개봉점은 처음 시켜먹는데 역시 티바는 좋습니당 양도 많고 그 티바의 양념맛 땡길때가 꼭 있죠 그럴 때 종종 또 시켜먹겠습니다 배송 빨리해주셔서 감사해욥,5
양념이 맛있어요,5
한시간반 기다렸다 받았는데 치킨이 식어서 왔어요 이런적 한번도 없었는데,5
급하게 먹다가 리뷰 생각나서 사진찍었어요 여전히 맛있고 매콤해요 돌쟁이 애기가 너무 먹고싶어해서 살코기 쥐어줘봤는데 매운지 뱉어버리네요 일반 후라이드는 살짝 먹었거든요 야하튼 어른입맛에는 맛있습니다 둘다 양이작아서 한마리만 시키다보니 언제나 후라이드네요,4
비오는 금욜 맛있게 잘 먹었어요,5
쮜낀 예상시간보다 20 분이지난지금도 나는 쮜낀을 기다리고있다 치맥하려다 맥주는 벌써다먹어버렸다,3
맛나게 잘 먹었습니다,5
배달빠르고 맛있게 먹었습니다,4
미쳤따리 미쳫따리너무맛있어서 기절하기 직전임 꽤꼬닥,5
다좋았으나 배달이 다흘러서 왔어요,4
자주먹어요 자주먹어요,4
쿠폰써서 주문한 날이라 되게 바쁘실 것 같았는데 배달이 생각보다 일찍 왔습니다 후라이드가 살짝 느끼할때 마늘간장을 먹으면 딱 괜찮고 다음번엔 후라이드랑 양념이랑 먹어보고 싶네요 집근처에 있어서 다행입니다 리뷰쓰기로 하고 콜라이벤트도 받아놓고 깜박했습니다,5
역시 맛있음 겉바속촉 중복은 티바와,5
아 맛있어요,5
사진을 못찍었네요 죄송요 맛있게 잘 먹었습니다,4
맛과 양 가격 그리고 배달까지 정말 친절한것 같습니다 정말 이만한 가성비가 없는 것 같아요 티바두마리 개봉점 다음에도 또 시켜먹을게요,5
맛있고 양많아요 잘먹었습니다,5
맛있어요 오늘도 존맛,5
맛있게 잘먹었습니다,4
무난해요,4
치킨은 맛있는데 배달이 너무 늦어요,5
갓성비 오지고 지리고 렛잇고,5
이틀 연속 티바 먹었어요 양념도 맛있고 마늘간장도 맛있고,5
맛있어요 많이파세요,5
따등 9999900,5
양많고 닭냄새도 안나요 갠적으로 간장보다 양념이 더 맛나네요 잘먹었습니다,4
사진이 좀 어둡지만 배달도 빠르고 맛도 좋고 닭도 커서 항상 만족합니다,5
,5
언제나 믿고 먹어요,5
역시나 실망 시키지 않는 맛 이였습니다,5
짱맛 짱맛 또 시켜먹었지요 요새트 넘 좋아요,5
맛잇었어용 담에 또 또 또,4
잘먹었습니다 맛있어요,5
순살은 비추천이요 뼈 닭이 맛있어요,5
맛있게 잘 먹었습니다,5
배달은 빨랐는데 맛은,1
항상 먹지만 119 넘 맛있어요 매운데 중독된듯,5
맛있습니다 사장님이 친절하네요,5
넘 맛나요최고예요 굿,5
맛있게 먹었습니다 티바도 맛있네요 그나마 다른데 보다는 티바가낳은거 같아요,4
맛있어요,5
항상 깔끔하고 먹음직스럽게 배달 되던 티바였는데 오늘은 배달 하시는 분이 오시다가 한 번 엎으셨는지 치킨이 이모양이더라구요 배달분만 안전 하시다면 괜찮은데 딱 표정이 왠지 모르게 불안 해보이더라구요 그래도 배달 의외로 일찍 와서 감사했어용,4
쿠폰 사용해서 알뜰하게 두마리 잘 먹었습니다 자주 먹고 있는데 앞으로 자주 이용할게요,5
배부르게 너무 잘먹었습니다,5
맛잇어요 양도 많구,5
항상맛있게잘먹고있습니다,5
아 진짜 육즙도랏냐거,5
맛은 있어요 양은 적었네요,3
,3
갈릭간장치킨 맛있어요,5
치킨 한마리 2 만원에 육박하는 시대에 이 가격으로 두마리나 먹을 수 있다는건 큰 행복입니다,5
날씨가 너무 더워 입맛도 없고 아이들이 티바를 찿네요 기름지지않고 깔끔한 티바치킨으로 저녁식사 대신합니다,5
시간 정확하네요 저렴하고 양도 많고 맛도 매콤하니 좋아요,5
티바 새우는 정말 맛있습니다 배달 중 뒤집힌건지 튀김옷들이 난도질당하긴했지만,5
바삭한걸 좋아하는데제 입맛에 딱이네요,5
맛있어요 빨리 도착했고 맛있게 폭풍 흡입중입니다 감사합니다,5
항상 잘먹고 있습니다,5
배달빠르고 맛있네요,5
음 네,4
순살치킨 맛잇어요 배달오 빠르거 조아요,5
뭔가 뭔가 부족했어요 후라이드보단 양념이 맛있는거 같아요,4
맛있게 잘 먹었어요,5
불양념은 정말 매웠어요 하지만 뭐 본분에 충실한 치킨이었기 때문에 좋습니다 전체적으로 치킨도 맛있었고 다 좋았지만 배송이 좀 걸렸어요,4
맛잇는치킨먹엇어요,5
이때 티바두마리 이벤트하셔서 그런지 배달이 살 짝늦은감은 있지만 늦어도 바삭하고 너무 맛있게먹었습니다 사진이 다먹고나서 생각이나서 찍지를 못했네요 앞으로도 잘부탁 드립니다,5
양념 맛있네요 콜라값도 딴데보다 천원 더 싸구요,5
맛있게 잘 먹었습니다만 퍽퍽살이 좀 많아서 아쉽네요,4
깔끔합니다 배달도 빠르고 맛있게 먹었네요,5
정말 맛있었어요 또 먹을께요,5
배달은 빠른데 저는 맛은 특별한게 없는것같아요닭에서 약간 냄새가 났는데 그건 제가 후각이 예민해서 그럴 수도 있어요 담엔 후라이드를 시켜봐야겠네요,2
생각보다 배달이 빨리와서 좋았어요,5
양도많고 주문한지 20 분만에 오네요 잘먹겠습니다,5
아주 맛있어요 매콤한데 중독성있네요 그리고 양 적당해요 배달 빠릅니다 불금에 잘먹었어요 감사합니다,5
너무 맛있게 잘 먹었습니다,5
맛있고 빠르고 잘먹었습니당,5
이벤트기간이라 많이 늦게왔지만 이해합니다 맛있게 잘먹었어요,5
배달 빠르고 바삭하고 맛있어요 강추 입니다,5
맛은 괜찮은데 닭이 넘 작은듯,4
후라이드 땡초 갈릭 모두 맛있어요땡초는 정말 화끈하게 맵네요스트레스 쌓일 때 제격입니다,5
배송도 빠르고 맛있습니다,5
맛있게 잘 먹었어요,5
두마린데 닭이 작고 순살인데 퍽퍽살이 많았읍니다,5
후라이드 맛나네요 양념치킨은평범 다음엔 마늘치킨 먹어봐야겠어요 고기자체는 좋은듯해요,5
배달도 빠르고 맛도 꿀,5
양념치킨 너무 맛있어요,5
양도넉넉하고 맛있어요타사 두마리 시켜먹다가 완전히 갈아탔어요오늘은 스노윙 양념조합입니다,5
먼저 지난 금요일에 받은 후기임을 알려드려요배달시간이 넘 늦어서 황당했어요 요기요 이벤트 때문이라고 하지만 연락이 안되서 이도저도 못하고 답답했어요다른 후기들 보니 사장님의 수고가 엄청났음을 감안하고 다음번에는 정상적으로 운영하실것을 믿고 평점과 후기을 남겨요사장님 손님들 모두 고생하셨어요,4
맛있게 잘 먹었습니다 감사감사,5
배달도 빠르고 잘먹었습니다,5
맛있게 잘 먹었습니다,5
맛있어요 양념에서 스모크 향이나서 맛있어요,5
생각보다 빨리왔고 간장마늘치킨 맛있어요,5
착한가격에 2 마리나 먹을 수 있어서 좋아요 특히 양념치킨 맛있어요,5
맛은 있는데 배달 시간이 1 시간반 걸려서 왓어요,5
티바는 처음 주문해보는데 후라이드 파삭하고 양념도 맛있네요 배달 빠르고 맛있게 잘 먹었어요,5
많이시켜먹었는데 치킨쿠폰 나왔을때 먹은 티바는 조큼 실망했어요 닭사이즈도 줄었고 수분이 많이 빠져서 다리살도 퍽퍽했어요 평소에 시켜먹을때는 닭가슴살도 촉촉하고 염지도 잘됐다고 칭찬하고 그랬는데 아쉽네여,4
양도 많고 맛있게 먹었네요 갈릭간장양념은 살짝 매콤해서 애들은 조금 먹기 힘들어했어요 시키실때 참고하세요,5
치킨 잘 먹었습니다,4
잘 먹었습니다 마늘간장이라기보단 그냥 간장맛이었어요,4
티바 순살은 퍽퍽살 보다 다리살 같은 부드러운 순살이라 너무 맛있어요 양파도 얇게 슬라이스 되어 있고 하나도 안 매워서 잘 먹었네요,5
맛잇어요 양도푸짐하궁,5
사장님 평소 자주시켜먹는대 이번에는 너무늦게 왔네요 4 시간이나 기다렸습니다 배달지연되는거면 최소한 알려는주세요 연락도 안받으시고 이건 아니다 싶었네요,4
배달이 좀 늦어서 치킨이 다 식었어요,4
맛있는 치킨 배달와서 맛있게 먹었습니다,5
5 시간만에 왔네요 다들 자고있는데 와서 놀랐네요,5
이벤트 덕분에 잘 먹었습니다만 배달 받기까지 무척 힘들었네요 그만큼 매장은 더 힘들었을 것 같네요 다음부터는 요기요가 잘 조율된 이벤트를 하면 좋겠네요 음식은 맛있었어요 네시간 기다린 후라 이렇게 맛있는걸까 생각도 했지만 맛은 확실히 있었어요,4
뭐 밀려도 배달이 온건 다행인데 너무식고 눅눅해졌어요 심지어 치킨박스까지 흐물흐물하네요,3
맛있어요 바뀐 마늘 매콤하네요,5
주문한지 네시간 만에 받았네요 어느정도 늦어지면 자동으로 취소되는 시스템이 있어야 되지 않나 싶습니다 취소하려고 매장에도 전화도 하고 요기요 고객센터에도 전화를 했지만 연결이 안되더군요 저녁으로 먹으려 했는데 너무 늦게와서 그냥 밥 차려 먹고 배부른 상태에서 치킨을 받으니 매우 화가 납니다 하물며 치킨이 식어서 왔네요 역시 쿠폰 주는건 걸러야 되나 봅니다,1
6 시에 시킨게 너무 안와서 밥먹고 배 두드리고 잇는대 10 시에 왓내요 기분이 참 행사때문이라는 걸 알아도 전화도 안받으시고 음식도 안오니 화가 나는건 어쩔수 없나봅니다 치킨맛은 배불러서 그런가 오래 기달려서 그런가 그냥 그래요,1
4 시간돌파 내가 혹시 부산점에서 시킨건가,3
4 시간 만에 배달이 왔네요 기다리다 딴데서 시켰는데 에휴,3
저녁 6 시에 시켜서 3 시간 27 분만에 도착 뜨겁진 않지만 따뜻한 치킨이 왔네요 기다리는 동안 취소도 안되고 전화도 안받아서 애가 탔어요,2
지금 머하자는건가요 주문한지 세 시간이 다 되가는대 오지도 않고 취소도 안되요 전화라도 받아야 취소를 하던기다리던지 결정을하죠 행사기간이면 주문을 소화 할 수 있을만큼만 받아야죠,1
배달 시킨지 2 시간 지나야 온다고 해서 기다렸더니 결국 보내지도 않고 전화도 안 받네요 2 시간 쫄쫄 굶은것도 열받는데 배달 하지도 않아놓고 배달 완료로 처리히는건 몹니까 먹튀도 이런 먹튀가 있나 어여 환불 처리나 해주쇼,1
5 시 46 분에 주문해서 9 시 10 분에 받았습니다 배달대행이 아닌 직접 배달하시는듯한데 땀 뻘뻘 흘리면서 오셔서 험한말을 할려다 말았네요 맛은 있고 행사 없을때는 먹을만할거 같습니다 하지만 금요일에 세시간 동안 기다릴 가치가 있을지는 글쎄요,4
이벤트 때문에 늦는건 이해하는데 주문감당이안되면 빠르게 취소라도 하던가 2 시간 반넘게 기다리는데 배달완료만 띡해놓고 배달도안오고 전화도 안받으면 기다리는 사람은 뭐가됨 두번다신 여기 안시킬듯 진짜 짜증나네,1
지금 세시간넘게 배달안오고 전화도 안받고 취소도 안되고앱상에는 배달완료로 뜨면서 리뷰 쓰라고 뜨는데 장난하나요,1
6 시에 시켯는데 아직까지 기다리는 내인생이 레전드,5
사장님 행사 하시느라 고생하시네요행사는 행사고 6 시 40 분쯤 주문했고 언제 올지도 모르는 치킨만바라볼수 없잖아요 치킨 안먹고 그냥 저녁 먹었네요전화라도 받으셔야 취소를 하던지 할꺼 아닙니까,1
주문 한지 2 시간이 지났는데 오지도 않고 배달은 완료라고 되어있고 전화해보니까 전화도안받고 할인은 많이 주고 실제로 상품은 안줍니까 어이가 없네 이럴꺼면 장사 왜하냐고그런식으로 장사할거면 하지 마세요 리뷰 봤는데 나 혼자만 피해자가 아니구만주문 취소합니다 처리해주세요,1
배달은 6 시 24 분에 시켜 2 시반째 오지도않고 전화도안되는데 배달완료라니 장난하냐진짜짜증난다,1
2 시간 넘었는데 배달도 안오고 전화도 안받고 정말 최악,1
지금 딱 2 시간째 도착예정은 90 분이였음 이거 배달 오긴하나요 전화도 안받으시고 어떻게 하라는건가요,1
보아하니 피해자가 나한사람이 아니구만 진짜 육두문자 나오네 배달안되면 취소라도 빨리 시키던가 그냥 전화 씹으면 다냐,1
배달시킨지 2 시간이 지났는데 배달도안됐는데 배송완료 시켜놓고 전화 30 통은 넘게했는데 전화도 안받고 짜증나네 환불해주던가 배달을해주던가 얼릉하시요,1
6 시에 주문한 치킨 아직도 안오고배달완료로 표시는 되어 있고 전화 연결도 안됩니다오늘 중에 오긴 옵니까,1
혹시 오늘 배달 안되나요 전산은 배달 된걸로 뜨고 있는데 오지는 않고 전화 안 받고,1
배달은 받지 못하였는데 배달완료라니요 두시간 다되어가는데 배고파 환장합니다이럴거면 행사하지 마세요주말 시간이 얼마나 금인데,1
6 시에 시킨 치킨이 8 시가 되어도오질 않는다,1
지금 장난합니까 거의 2 시간 가까이 배달도 안오고 주문완료뜨고 뭐하는겁니까 전화도 안받고 요기요도 안받고 어쩌라는건지 진짜 이렇게 장사하면 안될텐데,1
2 시간도더걸렷지만갠춘,5
배달 안 왔는데요,1
진짜 티바 없었으면 어쩔뻔 인생치킨,5
2 시간지났는데 배달안왔어요 그런데 완료로 되어있고 전화도 안 되고 어떻게 해야되나요,1
땡초갈릭치킨 맵지만 맛있어요,5
항상 맛있게 잘먹고 있는 가게 입니다,5
와우 맛있게 잘 먹었습니다 굿굿굿굿굿,5
맛있게 잘 먹었어요,5
배달잘못갖다주셔서 전화드려서 바꿨네요 맛있었어요,4
후라이드맛있네요,3
할인가격이라 쿠폰이 없어서 아쉽네요 역시 맛있어요,5
맛있어요 동생이좋아하네요,5
오늘은 쿠폰까지 있어서 더 좋은 가격이네요 티바는 기름지지않고 깔끔해서 항상 맛있게 먹어요 감사합니다,5
마늘간장 넘 맛나요 양도 적당하고 배달도 빠르고 추천합니다,5
배달도 빨랏고 맘에들엇습니다,5
마니파세요 마니파세요,4
배달은 예상시간보다 빨리 왔습니다 순살은 퍽퍽살이네요 마늘간장 소스는 괜찮습니다,3
프라이드 기본 베이스가 매워요 게다가 간장양념은 짜고요,1
주소 잘못 입력했는데 다시 와주시고 너무 감사합니다 치킨은 여전히 맛있구요,5
좋아요,4
배달도 빨리오고 치킨 속살이 촉촉하고 부드럽고 깔끔했어요 두마리 순살 시켰는데 가족 셋이서 배부르게 잘 먹었습니다 기름냄새도 안나고 깨끗해서 좋아요 다음에도 여기서 시켜먹으려고요,5
크 후라이드도 넘 맛있는데양념치킨이 진짜 넘맛있어요양념만 두마리먹고싶을정도로 배달빠르고 좋앗어요,5
깜박하고 사진을 놓쳤네요간장이랑 양념시켰는데 그럭저럭 맛있습니다,5
양은 좀 작지만 자극적이지 않고 괜찮았어요,5
배달도 빠르고 양도 많고 맛있어요,5
맛있져염약 간양이작은거같은느낌이긴한게맛남,5
배달도 빨리왔고 요청사항도 잘 들어주시고 배달기사님도 친절하셨습니다 양념치킨은 말할것도 없이 맛있었구요,5
그럭저럭 나쁘지 않았어요,4
그냥 먹을만함 배달은 빠름,4
여긴 처음인데 맛있네요,5
자주먹는간장마늘치킨입니다먹다찍었네요 맛있어요,5
육즙이 살아있네요 타 브랜트에 비해 닭의 질이 좋은 것 같습니다 부위도 잘 사용하시구요,5
배달도 빠르고 바삭하네요,4
저번에 양념소스 너무 달달해서 따로 시켰는데 이것도 꿀맛이내여 매번 감사합니다,5
매운 맛을 먹었는데 속이 따가운 그런 맛이 아니라 청량고추 먹는 그런 매운 맛이라 좋았습니다 순간 매웠다가 사그라드는 그런,5
배달 진짜 빨리 오네요 맛있어서 가끔 시켜 먹는데 오늘도 맛있어요,5
순식간에 순싹 바사사삭 맛있어요 굿굿굿굿굿,5
맛과 양 모두 만족하는 티바두마리 치킨이었습니다 맛있게 먹었습니다 나중에 또 주문할게요,5
잘목엇어요 맛잇네요 양도푸짐,5
맛있게 잘 먹었습니다,4
맛도 괜찮고 금방해서와서 좋았습니다 근데배송이 오래걸리네요 잘먹었습니다,3
늘 맛나는 티바 2 마리 입니다 양념도 맛있고 오늘따라 후라이드 좋네요,5
두마리로 먹었는데 아이 포함해서 셋이서 먹었는데 배부르게 먹었어요 맛도 좋아요,5
맛있게 잘먹었습니다,5
넘 맛있었어요 많이파세요,5
마늘양념 치킨이 정말 맛있네요 대표메뉴 맞습니당,5
맛있는 두마리치킨 티바가성비 좋아요,5
오랜만에 먹었는데 여전히 맛있습니다,5
카레향 좋네요 맛있고 뒷 맛은 조금 매콤한데 막 맵다 이런 건 없었네요,5
맛있어요 항상먹는 간장마늘 가격올라좀아쉽 양은좀작아요맛은더좋아진거같아요,5
자주 시켜먹는데 역시 맛있어요,5
너무너무 맛있어요 항상 저희집이 먹는 치킨이에요 황금감자는 처음먹어봤는데 감자도 맛있었어요 이번에도 너무 잘먹었습니다,5
배달도 빠르고 맛있어요,5
혼밥 가성비 굿입니다,4
워낙 금요일저녁시간은 배달이 오래 걸려서 넉넉잡고 주문했는데 30 분도 안돼서 와서 놀랬어요 배달점수 만점 나갑니다 두마리세트시켰는데 양은 적지않고 신랑이랑 둘이 먹었는데 1 4 남겼어요 후라이드는 짭짤하니 맛있고 양념은 밑에 양념 더 발라먹을만큼 맛나네요 다음에도 주문할게요,5
약간의문제가 있었지만 다시 해주셨고 그외에 요청사항도 들어주셔서 만족합니다,5
맛있어요 근데 밑간이 너무 쎄진 것 같아요,4
기본이 제일 무서운 법 후라이드 양념치킨 세트 주문했는데 너무 맛있게 잘 먹었습니다 평소보다 조금 더 매운맛이 강해서 더 맛있었네요 배달도 예정 시간 맞춰서 배달 해주시고 감사합니다,5
작은 닭이라서 1 인 1 닭 가능하겠네요잘 먹었습니다,4
맛있네요 다음에 또 먹어야겠어요,5
나름 맛있는 치킨 입니다가격도 첫 구매라서 가격대에서 매우 좋습니다,4
잘먹었어요 특히 양념순살맛있음,5
리뷰잘안하는데 치킨좋아하는 사람으로서 진짜비추 사장님 닭 관리가 안된건지 치킨 군내가 장난아니에요배달은 빨라서 만족스럽지만 별점 1 개 주기 아깝네요,1
전체적으로 기름이 많아 아쉬웠어요 양념이 기름양념,3
너무 맛있어서 거의 1 주일에 한번 씩 먹고 있어요,5
역시나 맛있고 배달도 빨랐습니다,5
치킨은 여기만 먹어요 살이 탱탱하고 양념도 맛나요 또 이용할께요 감사요,5
맛있게 잘먹었습니다,5
요청사항도 잘들어주시고 감사합니다맛은있는데 두마리인데 양이조금 아쉽네요,5
닭 크고 맛있습니다 간장맛 바뀐게 더더더더더더 맛있어요,5
맛있어요 배고팠는데 햇꿀맛,5
처음으로 시켜봤는데 깔끔하게 포장되어왔고 맛도 좋아요 특별한 맛은 아니지만 기본이 잘 되어있어요,4
괜찮음 양이 조금 적은듯,4
양많고 맛있게 잘먹었습니다,5
배달빠르고 따뜻하게와서 맛있어요,5
맛있었어요 전 다 맛있었는데 신랑은 비비큐파라서그저 그랬나봐요 둘이서 1 인 1 닭하기엔 많아서 담날까지 먹었습니다 좋아요 헤헤,4
후라이드 바삭하고 양념치킨도 맛있어요,5
잘먹었습니다 저 주문할때 까먹고 현금영수증신청안해서요 현금 영수증 부탁드립니다,5
티바는 언제나 맛잇지용,5
정말 다시먹고 싶을정도로 맛 있었습니다,5
티바는 항상 맛잇어요 헿,5
늘 시켜먹는 곳인데 오늘도 맛있어요,5
잘먹었습니다근처 치킨집들 들아가며 시켜보고 있어요가격대비 무난하네요,4
양념이 적당히달고 느끼하지않아서 맛잇게먹엇습니다,5
50 분걸린다고했는데더빨리왔어요 콜라도 리뷰이벤트로주시고 맛있어요,5
5 월의 마지막 불금 치킨과,4
배달시간도 치킨도 다 무난함 소름끼치는 는 아님 그렇다고 맛이 없지도 않음 정말 무난한 치킨,4
